Program, File, Original Size, Compressed Size, Compression Ratio
EOF tests,bib.dat,114.8 KB,30.5 KB,3.7645645838004036
EOF tests,book1.dat,750.8 KB,199.4 KB,3.764665266127018
EOF tests,book2.dat,611.8 KB,162.5 KB,3.764692450063697
EOF tests,geo.dat,100.0 KB,26.6 KB,3.7645674791367965
EOF tests,news.dat,378.1 KB,100.4 KB,3.764650972842099
EOF tests,obj1.dat,21.0 KB,5.6 KB,3.764046910554875
EOF tests,obj2.dat,241.0 KB,64.0 KB,3.7646466649379966
EOF tests,paper1.dat,53.1 KB,14.1 KB,3.7641646489104117
EOF tests,paper2.dat,82.0 KB,21.8 KB,3.7645211930926217
EOF tests,pic.dat,501.2 KB,133.1 KB,3.764678266482791
EOF tests,progc.dat,40.1 KB,10.7 KB,3.7642425352628686
EOF tests,progl.dat,72.2 KB,19.2 KB,3.764520073364581
EOF tests,progp.dat,50.1 KB,13.3 KB,3.7642961876832843
EOF tests,trans.dat,91.5 KB,24.3 KB,3.764514444131946
EOF tests,xml.dat,5.1 MB,1.4 MB,3.7647032308547224
EOF tests,Average, , ,3.7644983271497403
